currency,rate,date,rate_in_GBP
KHR,4566.002421,2025-04-20,5326.100938074486
KHR,4519.894849,2025-04-10,5217.2358037673475
KMF,500.400255,2025-04-10,577.6032880893046
KMF,492.989561,2025-04-20,575.0571114957867
KPW,1013.191805,2025-04-10,1169.509631910834
KPW,1023.51235,2025-04-20,1193.8955753492407
KRW,1613.043867,2025-04-20,1881.5658996743218
KRW,1635.762313,2025-04-10,1888.1319125654045
KWD,0.34871,2025-04-20,0.4067594553988858
KWD,0.345707,2025-04-10,0.39904356146958636
KYD,0.947196,2025-04-20,1.1048749078489375
KYD,0.938533,2025-04-10,1.0833322752409853
KZT,581.096649,2025-04-10,670.7497284550274
KZT,594.971784,2025-04-20,694.016227918739
LAK,24383.791842,2025-04-10,28145.7857051339
LAK,24598.413306,2025-04-20,28693.29012653857
LBP,100811.104664,2025-04-10,116364.50011369683
LBP,101896.340554,2025-04-20,118858.93719963418
LKR,334.529771,2025-04-10,386.1418809496052
LKR,339.937138,2025-04-20,396.52618256641875
LRD,227.418819,2025-04-20,265.27703525536344
LRD,224.98193,2025-04-10,259.6927184393177
LSL,21.895565,2025-04-10,25.27366885249308
LSL,21.444738,2025-04-20,25.01462519013447
LTL,3.324053,2025-04-10,3.8368964112200885
LTL,3.357962,2025-04-20,3.9169590615989023
LVL,0.687902,2025-04-20,0.8024164574798667
LVL,0.680956,2025-04-10,0.7860156359115774
LYD,6.259051,2025-04-10,7.224713420497058
LYD,6.220955,2025-04-20,7.256552057184983
MAD,10.666485,2025-04-10,12.312137627418366
MAD,10.547872,2025-04-20,12.303767228749264
MDL,20.007747,2025-04-10,23.094593455910445
MDL,19.662304,2025-04-20,22.93547092692304
MGA,5177.713287,2025-04-20,6039.642788654453
MGA,5240.376347,2025-04-10,6048.875032752769
MKD,61.514233,2025-04-20,71.75445474566305
MKD,61.765155,2025-04-10,71.29444132146885
MMK,2387.450153,2025-04-20,2784.886937645225
MMK,2363.254817,2025-04-10,2727.8638235148137
MNT,4055.721375,2025-04-20,4730.873842862608
MNT,3951.429882,2025-04-10,4561.066605566643
MOP,9.086962,2025-04-20,10.599660790772761
MOP,9.002744,2025-04-10,10.391710404356724
MRU,44.847502,2025-04-20,52.31322729351163
MRU,44.748991,2025-04-10,51.65297995357475
